Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ft_numl;rc_clacul;ft_numt;ft_k716;ft_k717;ft_k718;ft_k719;ft_k720ha;ft_k721ha;ft_k722;ft_k723;ft_k724;ft_k725;ft_k726;ft_venmernac;ft_venmerint;ft_prepara_suelo;ft_poda;ft_tutoreo;ft_despunte;ft_riego;ft_superf_regada_ha;ft_porc_surc;ft_porc_aspe;ft_porc_micr;ft_porc_gote;ft_porc_nebu;ft_porc_otro;ft_aferti;ft_forg;ft_cant1_fo;ft_umed1_fo;ft_cant2_fo;ft_umed2_fo;ft_cant3_fo;ft_umed3_fo;ft_fqui;ft_cantidad_npk_fq;ft_umed_npk_fq;ft_cantidad_nit_fq;ft_umed_nit_fq;ft_cantidad_fq;ft_umed_fq;ft_cantidad_pot_fq;ft_umed_pot_fq;ft_apliplagui;ft_porg;ft_cantidad_po;ft_umed_po;ft_pqui;ft_cantidad_her_pq;ft_umed_her_pq;ft_color_her_pq;ft_cantidad_ins_pq;ft_umed_ins_pq;ft_color_ins_pq;ft_cantidad_fun_pq;ft_umed_fun_pq;ft_color_fun_pq;ft_cantidad_pq;ft_umed_pq;ft_color_pq;ft_trabocacont;ft_trabfami;ft_clacu;ft_full_tabaco;ft_tabaco;ft_bonche;ft_bouquet;ft_tn;fact_exp_fin
05015801123530005;COTOPAXI;01;12353;0005;2;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;5;25;8;,15;,15;33600;33600;BONCHE;1304;25;100; ;2;2;2;2;SI;,15; ; ; ;100; ; ;SI;SI;5;QUINTAL; ; ;2,5;LITRO;SI; ; ; ; ;,15;KILOGRAMO;4;KILOGRAMO;SI;NO; ; ;SI; ; ; ;3;LITRO;AMARILLO; ; ; ; ; ; ;0;0;OTRAS FLORES TRANSITORIAS; ; ;1304; ;TOTAL NACIONAL;4,07969811123056
05015801123530005;COTOPAXI;01;12353;0005;3;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;9;25;12;,15;,15;33600;33600;BONCHE;1304;25;100; ;2;2;2;2;SI;,15; ; ; ;100; ; ;SI;SI;5;QUINTAL; ; ;2,5;LITRO;SI; ; ; ; ;,15;KILOGRAMO;4;KILOGRAMO;SI;NO; ; ;SI; ; ; ;3;LITRO;AMARILLO; ; ; ; ; ; ;0;0;OTRAS FLORES TRANSITORIAS; ; ;1304; ;TOTAL NACIONAL;4,07969811123056
05015801123530006;COTOPAXI;01;12353;0006;1;OTRAS FLORES TRANSITORIAS;2;BAJO INVERNADERO;1;25;3;,16;,16;30000;60000;BONCHE;1200;25; ;100;1;2;1;2;SI;,16; ; ; ;100; ; ;SI;SI;7;QUINTAL; ; ;12;LITRO;SI; ; ; ; ;,5;KILOGRAMO;,75;LITRO;SI;NO; ; ;SI; ; ; ;3;LITRO;AZUL;,25;LITRO;AMARILLO; ; ; ; ;1;OTRAS FLORES TRANSITORIAS; ; ;1200; ;TOTAL NACIONAL;0
05015801123530006;COTOPAXI;01;12353;0006;2;OTRAS FLORES TRANSITORIAS;2;BAJO INVERNADERO;3;25;6;,16;,16;30000;60000;BONCHE;1200;25; ;100;1;2;1;2;SI;,16; ; ; ;100; ; ;SI;SI;7;QUINTAL; ; ;12;LITRO;SI; ; ; ; ;,5;KILOGRAMO;,75;LITRO;SI;NO; ; ;SI; ; ; ;3;LITRO;AZUL;,25;LITRO;AMARILLO; ; ; ; ;1;OTRAS FLORES TRANSITORIAS; ; ;1200; ;TOTAL NACIONAL;0
05015801123530006;COTOPAXI;01;12353;0006;3;OTRAS FLORES TRANSITORIAS;2;BAJO INVERNADERO;6;25;9;,16;,16;30000;60000;BONCHE;1200;25; ;100;1;2;1;2;SI;,16; ; ; ;100; ; ;SI;SI;7;QUINTAL; ; ;12;LITRO;SI; ; ; ; ;,5;KILOGRAMO;,75;LITRO;SI;NO; ; ;SI; ; ; ;3;LITRO;AZUL;,25;LITRO;AMARILLO; ; ; ; ;1;OTRAS FLORES TRANSITORIAS; ; ;1200; ;TOTAL NACIONAL;0
05015801123530006;COTOPAXI;01;12353;0006;4;OTRAS FLORES TRANSITORIAS;2;BAJO INVERNADERO;9;25;12;,16;,16;30000;60000;BONCHE;1200;25; ;100;1;2;1;2;SI;,16; ; ; ;100; ; ;SI;SI;7;QUINTAL; ; ;12;LITRO;SI; ; ; ; ;,5;KILOGRAMO;,75;LITRO;SI;NO; ; ;SI; ; ; ;3;LITRO;AZUL;,25;LITRO;AMARILLO; ; ; ; ;1;OTRAS FLORES TRANSITORIAS; ; ;1200; ;TOTAL NACIONAL;0
05015801123530008;COTOPAXI;01;12353;0008;1;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;1;25;0;,2; ;15000; ; ; ; ; ; ;2;2;2;2;SI;,2; ; ; ;100; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;OTRAS FLORES TRANSITORIAS; ; ; ; ;TOTAL NACIONAL;72,0198319797072
05015801123530023;COTOPAXI;01;12353;0023;1;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;1;25;3;,19;,19;42000;126000;BONCHE;2520;25;50;50;1;2;1;1;SI;,19; ; ; ;100; ; ;SI;SI;14;QUINTAL; ; ;3;LITRO;SI; ; ;1,5;LITRO; ; ;,5;KILOGRAMO;SI;NO; ; ;SI; ; ; ;1,5;LIBRA;AMARILLO;1,5;KILOGRAMO;AZUL; ; ; ; ;1;OTRAS FLORES TRANSITORIAS; ; ;2520; ;TOTAL NACIONAL;74,3557881562988
05015801123530023;COTOPAXI;01;12353;0023;2;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;3;25;6;,19;,19;42000;126000;BONCHE;2520;25;50;50;1;2;1;1;SI;,19; ; ; ;100; ; ;SI;SI;14;QUINTAL; ; ;3;LITRO;SI; ; ;1,5;LITRO; ; ;,5;KILOGRAMO;SI;NO; ; ;SI; ; ; ;1,5;LIBRA;AMARILLO;1,5;KILOGRAMO;AZUL; ; ; ; ;1;OTRAS FLORES TRANSITORIAS; ; ;2520; ;TOTAL NACIONAL;74,3557881562988
05015801123530023;COTOPAXI;01;12353;0023;3;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;6;25;9;,19;,19;42000;126000;BONCHE;2520;25;50;50;1;2;1;1;SI;,19; ; ; ;100; ; ;SI;SI;14;QUINTAL; ; ;3;LITRO;SI; ; ;1,5;LITRO; ; ;,5;KILOGRAMO;SI;NO; ; ;SI; ; ; ;1,5;LIBRA;AMARILLO;1,5;KILOGRAMO;AZUL; ; ; ; ;1;OTRAS FLORES TRANSITORIAS; ; ;2520; ;TOTAL NACIONAL;74,3557881562988
