Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgp_ncventmamen2mes;vgp_ncventmamay2mes;vgp_ncventhemmen2mes;vgp_ncventhemay2mes;vgp_totsacrif;ventasm2m;ventasmy2m;TOTAL;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;fact_exp_fin
01095301128740002; AZUAY;01;12874;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,2953004040328
01095301128740011; AZUAY;01;12874;0011; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,7998995502184
01095501130900002; AZUAY;01;13090;0002; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,9348670816657
01095501130900003; AZUAY;01;13090;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,1738461622453
01095501130900004; AZUAY;01;13090;0004; ;2; ; ; ; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,15981004677302
01095501130900010; AZUAY;01;13090;0010; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,1274914613073
01095501130900011; AZUAY;01;13090;0011; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;76,5701258691026
01016801134220004; AZUAY;01;13422;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,5118481321446
01016801134220007; AZUAY;01;13422;0007; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,554706339696
01016801134220016; AZUAY;01;13422;0016; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,9957793839267
01016101135260002; AZUAY;01;13526;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,7080181095507
01016101135260004; AZUAY;01;13526;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,721081669631
01016101135390002; AZUAY;01;13539;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,2181928606747
01095501135470001; AZUAY;01;13547;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,2974809989636
01095501135470004; AZUAY;01;13547;0004; ;2; ; ;0; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;76,3809128907916
01095501135470006; AZUAY;01;13547;0006; ;2; ; ;0; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,75649974110096
01095501135470009; AZUAY;01;13547;0009; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,1133639778412
01095501135470010; AZUAY;01;13547;0010; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,6893143305084
01095501135470015; AZUAY;01;13547;0015; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,0140438979856
01095501135470016; AZUAY;01;13547;0016; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,1012844891539
01095501135470018; AZUAY;01;13547;0018; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,9248822014313
01085301136860002; AZUAY;01;13686;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,4952532313584
01095001137570001; AZUAY;01;13757;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;93,328197976523
01095001137570008; AZUAY;01;13757;0008; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,1849721994392
01095001137570009; AZUAY;01;13757;0009; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,0128717674158
01095001137570010; AZUAY;01;13757;0010; ;1; ; ;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,9083592235269
01095001137570012; AZUAY;01;13757;0012; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,45455528092336
01095301137800008; AZUAY;01;13780;0008; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,2812047158526
01115101139660005; AZUAY;01;13966;0005; ;1; ; ;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,9204902838684
01095001141930003; AZUAY;01;14193;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,9188187859952
01095001143340005; AZUAY;01;14334;0005; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;85,5799379459578
01095001143340010; AZUAY;01;14334;0010; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,4188271354512
01095001143410001; AZUAY;01;14341;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,3077103345545
01095001143410004; AZUAY;01;14341;0004; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,2449326105188
01016101143830002; AZUAY;01;14383;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,52372501243389
01016101143830003; AZUAY;01;14383;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,8685180857417
01016101143830004; AZUAY;01;14383;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,4470005982241
01016101143830005; AZUAY;01;14383;0005; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,68868626311206
01016101143830008; AZUAY;01;14383;0008; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,71878332226452
01016101143830009; AZUAY;01;14383;0009; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,1639221259037
01016101143830012; AZUAY;01;14383;0012; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,8685081226654
01016101143830016; AZUAY;01;14383;0016; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,3275974914219
01085301144420001; AZUAY;01;14442;0001; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8022270019617
01016101147510003; AZUAY;01;14751;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,62740595346363
01016101147510004; AZUAY;01;14751;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,3138752965157
01016101147510005; AZUAY;01;14751;0005; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,8085408493347
01095001148070006; AZUAY;01;14807;0006; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,5901186612932
01095001148070012; AZUAY;01;14807;0012; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;71,2239035221497
01095001148070013; AZUAY;01;14807;0013; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,9654444697963
01095001148070026; AZUAY;01;14807;0026; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,7099178990013
01095001148070027; AZUAY;01;14807;0027; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,8753033915815
01095001150110005; AZUAY;01;15011;0005; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,712919170689
01095001150110014; AZUAY;01;15011;0014; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,825449442564
01095001151920003; AZUAY;01;15192;0003; ; ; ;1;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;77,2547857536985
01095001153960002; AZUAY;01;15396;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,1334404204624
01095401155280002; AZUAY;01;15528;0002; ;4; ; ;0; ;4;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,2428777103763
01095101157500003; AZUAY;01;15750;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,14341001151459
01095401162900001; AZUAY;01;16290;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,9361554622099
