Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgv_ncmterne;vgv_ncmtoret;vgv_ncmtoros;vgv_nchterne;vgv_nchvacon;vgv_nchvacas;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;subtotal_machos;subtotal_hembras;TOTAL;fact_exp_fin
01015701031020016; AZUAY;01;03102;0016; ; ;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;,497154238604441
01015701031030001; AZUAY;01;03103;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;24,3057232540821
01125001033490001; AZUAY;01;03349;0001; ; ; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;59,8887962122496
01125001033490002; AZUAY;01;03349;0002; ;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;38,4070474049031
01125001033490003; AZUAY;01;03349;0003;3;1;2;3;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6;5;11;17,8793859806859
01135001033610003; AZUAY;01;03361;0003;1;1;1; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;4;1,19169357634661
01135001033610004; AZUAY;01;03361;0004; ; ;1; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;1,97514063827936
01135001033620001; AZUAY;01;03362;0001;1;1;1; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;4;19,7923495949976
01055201034770001; AZUAY;01;03477;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;72,245896577467
01055201034770006; AZUAY;01;03477;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;37,8437152656153
01055001037440001; AZUAY;01;03744;0001; ; ;4; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;1,09857423900562
01015701037690001; AZUAY;01;03769;0001; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;24,8786944894761
01145001038390003; AZUAY;01;03839;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;41,4455690423292
01015701039370001; AZUAY;01;03937;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;14,9259733806177
01015701040860001; AZUAY;01;04086;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;14,9259733806177
01015701040980001; AZUAY;01;04098;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;30,3935063175098
01145001041930002; AZUAY;01;04193;0002; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;42,2422164110221
01145001041930003; AZUAY;01;04193;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;35,9001855072248
01145001041930005; AZUAY;01;04193;0005; ;1; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;15,0145292420992
01145001041930007; AZUAY;01;04193;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;28,1653514674998
01145001041930009; AZUAY;01;04193;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;72,6420644393669
01145001041930013; AZUAY;01;04193;0013; ; ;3; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;4;6,63512357142458
01015701042340001; AZUAY;01;04234;0001;1; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;35,0958177252195
