Identificador;ual_prov;ual_estr;ual_segm;al_ncues;eu_superficie_ha;eu_k1301;eu_k1302;eu_k1303;eu_k1304;eu_k1305;eu_k1306;eu_k1307;eu_k1308;eu_k1309;eu_k1310;eu_k1311;eu_k1312;eu_trs;eu_trc;eu_tro;eu_znd;eu_tn;fact_exp_fin
01017101158000001; AZUAY;01;15800;0001;1,75;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,570432334133
01017101158000002; AZUAY;01;15800;0002;8,51;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,98998868708012
01017101158000003; AZUAY;01;15800;0003;1,52;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,8872225770044
01017101158000004; AZUAY;01;15800;0004;2,51;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,2388945555987
01017101158000005; AZUAY;01;15800;0005;1,88;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,1718424441332
01017101158000006; AZUAY;01;15800;0006;1,51;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,054249657978
01017101158000007; AZUAY;01;15800;0007;3,52;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,3101669565023
01017101158000008; AZUAY;01;15800;0008;1,41;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,2143218644891
01017101158000009; AZUAY;01;15800;0009;1,14;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,5076698713298
01017101158220001; AZUAY;01;15822;0001;29,65;6;4;2;1;1; ;5;3;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,1460646773435
01095401159330001; AZUAY;01;15933;0001;3,41;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;66,1929741889514
01095401159330002; AZUAY;01;15933;0002;7,27;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;50,4367043933146
01015201160130001; AZUAY;01;16013;0001;1,04;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,8674903393481
01015201160130002; AZUAY;01;16013;0002;1,04;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,1594488032751
01015201160130004; AZUAY;01;16013;0004;2,87;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;92,9283561558273
01015201160130005; AZUAY;01;16013;0005;,59;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;79,699355447819
01095101160840001; AZUAY;01;16084;0001;18,52;2;2; ;2;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,2532838921834
01095401162900001; AZUAY;01;16290;0001;8,15;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,9361554622099
01095401162900002; AZUAY;01;16290;0002;7,12;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,9482757207111
01095401164200001; AZUAY;01;16420;0001;19,02;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,4054057667317
01095101164390001; AZUAY;01;16439;0001;5,51;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,4382721202111
01095101164390002; AZUAY;01;16439;0002;12,02;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,9498862939367
01095401164450001; AZUAY;01;16445;0001;17,52;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,0942247536094
01015201164910001; AZUAY;01;16491;0001;2,31;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;147,792963933426
01015201164910002; AZUAY;01;16491;0002;3,01;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;74,9495089188795
01015201166390001; AZUAY;01;16639;0001;22,52;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,5241643283371
01075001167260001; AZUAY;01;16726;0001;12,01;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,4080288631701
01075001167260002; AZUAY;01;16726;0002;22,04;2;2; ;1;1; ;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,4485947389133
01025201167470001; AZUAY;01;16747;0001;55,02;5;3;2;3;2;1;2;1;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,29589946962953
01025201167470002; AZUAY;01;16747;0002;10,55;2;1;1;1; ;1;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,3551721206924
01025001167550001; AZUAY;01;16755;0001;8,17;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,5298195947107
01025001167550002; AZUAY;01;16755;0002;17,95;4;2;2;3;2;1;1; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,6977842517873
