Identificador;ual_prov;ual_estr;ual_segm;al_ncues;oe_superficie_ha;oe_k1101;oe_k1102;oe_k1103;oe_k1104;oe_trs;oe_trc;oe_tro;oe_znd;oe_tn;fact_exp_fin
01015201172450001; AZUAY;01;17245;0001;6,56; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,7497251979255
01015201173200002; AZUAY;01;17320;0002;4; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,6037780122572
01095601174830009; AZUAY;01;17483;0009;1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;78,2807967070191
01025201175470001; AZUAY;01;17547;0001;56; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,1752162572523
01025201175470002; AZUAY;01;17547;0002;20,06; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,2759674296346
01025201175470003; AZUAY;01;17547;0003;7,46; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,7891402055884
01095601177080003; AZUAY;01;17708;0003;11,61; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,2764811678426
01025001177540002; AZUAY;01;17754;0002;18,51; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,5238210566403
01025001179590003; AZUAY;01;17959;0003;11,88;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,6700950376338
01075001180090004; AZUAY;01;18009;0004;17,41; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,609567922315077
01075001180320003; AZUAY;01;18032;0003;10,27; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,2737628926254
01075001180320004; AZUAY;01;18032;0004;2,56; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;51,1283031924093
01075001180320005; AZUAY;01;18032;0005;5,81; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,7184543269402
01075001180320006; AZUAY;01;18032;0006;5,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,6056190691118
01075001180320007; AZUAY;01;18032;0007;17,82; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,76059936784364
01025001180700003; AZUAY;01;18070;0003;23,29; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,12358984744922
01025201184030001; AZUAY;01;18403;0001;113,86; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,21558394443542
01075001184120007; AZUAY;01;18412;0007;5,81; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,2913622805666
01075001184120008; AZUAY;01;18412;0008;1,2; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,11819224405856
01095201187530001; AZUAY;01;18753;0001;14; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,3331087217175
01095201187770001; AZUAY;01;18777;0001;18,01; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,0493515410071
01085301188930001; AZUAY;01;18893;0001;11,28; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,3890121615874
01085301188930002; AZUAY;01;18893;0002;5,03; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,9819495698929
01085301188930003; AZUAY;01;18893;0003;8,53; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,1701593404468
01085301188930004; AZUAY;01;18893;0004;2,95; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,0703072996331492
01095601190040001; AZUAY;01;19004;0001;21,24; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,12305856660214
01025001192480004; AZUAY;01;19248;0004;19,01;2;6; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,0002646517403
01025001193930001; AZUAY;01;19393;0001;45,6; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,23257450246119
