Identificador;ual_prov;ual_estr;ual_segm;al_ncues;gv_superficie_ha;gv_k1001;gv_k1002;gv_k1003;gv_trs;gv_trc;gv_tro;gv_znd;gv_tn;fact_exp_fin
01095001141930003; AZUAY;01;14193;0003;5,17;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,9188187859952
01095501141970001; AZUAY;01;14197;0001;15,36;9;5;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,0122557423133
01095001143340001; AZUAY;01;14334;0001;,26;4;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;170,07688179877
01095001143340005; AZUAY;01;14334;0005;,3;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;85,5799379459578
01095001143340014; AZUAY;01;14334;0014;,37;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,3173074075696
01095001143410003; AZUAY;01;14341;0003;7;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,7411701754556
01095001143410004; AZUAY;01;14341;0004;4,25;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,2449326105188
01016101143830001; AZUAY;01;14383;0001;,54;4;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,1168046726664
01016101143830002; AZUAY;01;14383;0002;7,19;8;3;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,52372501243389
01016101143830008; AZUAY;01;14383;0008;10,2;10;4;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,71878332226452
01016101143830009; AZUAY;01;14383;0009;6,21;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,1639221259037
