Identificador;ual_prov;ual_estr;ual_segm;al_ncues;su_numl;rc_clacul;su_numt;su_k202ha;su_categoria;su_tenencia;ual_trs;ual_trc;ual_tro;ual_znd;ual_tn;us_k301ha;us_k302ha;us_k303ha;us_k304ha;us_k305ha;us_k306ha;us_k307ha;us_k308ha;us_k309ha;us_k310ha;us_transiha;us_montesha;supertotal;fact_exp_fin
01055201011020001; AZUAY;01;01102;0001;3;MONTES Y BOSQUES NATURALES;3;,3;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,4747; ; ; ;,4747;,4747;66,3700908536929
01055201011020001; AZUAY;01;01102;0001;4;OTROS USOS;4;,07;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0879; ; ;,0879;66,3700908536929
01055201011020001; AZUAY;01;01102;0001;5;PASTO MIXTO;5;,12;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,1832; ; ; ; ; ; ; ;,1832;66,3700908536929
01055201011020002; AZUAY;01;01102;0002;1;PASTO MIXTO;1;10;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,7292; ; ; ; ; ; ; ;,7292;66,3700908536929
01055201011020002; AZUAY;01;01102;0002;2;OTROS USOS;2;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0587; ; ;,0587;66,3700908536929
01055201011020002; AZUAY;01;01102;0002;3;PASTO MIXTO;3;6;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,5612; ; ; ; ; ; ; ;,5612;66,3700908536929
01055201011020002; AZUAY;01;01102;0002;4;PASTO MIXTO;4;4;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,527; ; ; ; ; ; ; ;,527;66,3700908536929
01055201011020003; AZUAY;01;01102;0003;1;PASTO MIXTO;1;2,2;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,9709; ; ; ; ; ; ; ;1,9709;66,3700908536929
01055201011020003; AZUAY;01;01102;0003;2;OTROS USOS;2;,5;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,2363; ; ;,2363;66,3700908536929
01055201011029999; AZUAY;01;01102;9999;1;OTROS USOS;1;,95;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,2558; ; ;,2558;66,3700908536929
01015701011110001; AZUAY;01;01111;0001;1;MONTES Y BOSQUES NATURALES;1;15;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;9; ; ; ;9;9;66,3700908536929
01015701012760001; AZUAY;01;01276;0001;1;MONTES Y BOSQUES NATURALES;1;15;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;9; ; ; ;9;9;66,3700908536929
01015701012810001; AZUAY;01;01281;0001;1;MERKERON;1;12;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;4,9579; ; ; ; ; ; ; ;4,9579;66,3700908536929
01015701012810001; AZUAY;01;01281;0001;2;MONTES Y BOSQUES NATURALES;2;3;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,7784; ; ; ;1,7784;1,7784;66,3700908536929
01015701012810001; AZUAY;01;01281;0001;3;MONTES Y BOSQUES NATURALES;3;3;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;2,1369; ; ; ;2,1369;2,1369;66,3700908536929
01015701012810001; AZUAY;01;01281;0001;4;MONTES Y BOSQUES NATURALES;4;1;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,0909; ; ; ;,0909;,0909;66,3700908536929
01015701012810001; AZUAY;01;01281;0001;5;OTROS USOS;5;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0054; ; ;,0054;66,3700908536929
01015701012810001; AZUAY;01;01281;0001;6;OTROS USOS;6;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0305; ; ;,0305;66,3700908536929
01015701012950001; AZUAY;01;01295;0001;1;MONTES Y BOSQUES NATURALES;1;12;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;9; ; ; ;9;9;66,3700908536929
01055601013720001; AZUAY;01;01372;0001;1;BOSQUES ARTIFICIALES;1;,5;BOSQUES ARTIFICIALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;,2859; ; ;,2859;,2859;66,3700908536929
