Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vm_numl;vm_k821;vm_k822;vm_k823;vm_k824;vm_k825;vm_k826;vm_k827;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;va_nacidos;vm_subtmachos;vm_subthembras;TOTAL;fact_exp_fin
01015701008530001; AZUAY;01;00853;0001;6;5;5; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5;5; ;5;19,8977620813869
01015701009630001; AZUAY;01;00963;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,0384250123416
01015701009630001; AZUAY;01;00963;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,0384250123416
01015701009630001; AZUAY;01;00963;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,0384250123416
01015701009630001; AZUAY;01;00963;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,0384250123416
01015701009630001; AZUAY;01;00963;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,0384250123416
01015701009630001; AZUAY;01;00963;0001;6;2;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;2; ;2;26,0384250123416
01055201011020001; AZUAY;01;01102;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;33,5893192701572
01055201011020001; AZUAY;01;01102;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;33,5893192701572
01055201011020001; AZUAY;01;01102;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;33,5893192701572
01055201011020001; AZUAY;01;01102;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;33,5893192701572
01055201011020001; AZUAY;01;01102;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;33,5893192701572
01055201011020001; AZUAY;01;01102;0001;6;2; ; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;2;33,5893192701572
01055201011020002; AZUAY;01;01102;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,1917915191752
01055201011020002; AZUAY;01;01102;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,1917915191752
01055201011020002; AZUAY;01;01102;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,1917915191752
01055201011020002; AZUAY;01;01102;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,1917915191752
01055201011020002; AZUAY;01;01102;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,1917915191752
01055201011020002; AZUAY;01;01102;0002;6;13;6; ; ;7; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13;6;7;13;6,1917915191752
01015701012810001; AZUAY;01;01281;0001;1;6; ;6; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;6; ;6;31,3889026633335
01015701012810001; AZUAY;01;01281;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,3889026633335
01015701012810001; AZUAY;01;01281;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,3889026633335
01015701012810001; AZUAY;01;01281;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,3889026633335
01015701012810001; AZUAY;01;01281;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,3889026633335
01015701012810001; AZUAY;01;01281;0001;6; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,3889026633335
01015701016100001; AZUAY;01;01610;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;43,7070791315717
01015701016100001; AZUAY;01;01610;0001;2;1; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1; ;1;43,7070791315717
01015701016100001; AZUAY;01;01610;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;43,7070791315717
01015701016100001; AZUAY;01;01610;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;43,7070791315717
01015701016100001; AZUAY;01;01610;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;43,7070791315717
01015701016100001; AZUAY;01;01610;0001;6; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;43,7070791315717
01055201016620001; AZUAY;01;01662;0001;1;9;0;7; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;7;2;9;15,8141293282164
01055201016620001; AZUAY;01;01662;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8141293282164
01055201016620001; AZUAY;01;01662;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8141293282164
01055201016620001; AZUAY;01;01662;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8141293282164
01055201016620001; AZUAY;01;01662;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8141293282164
01055201016620001; AZUAY;01;01662;0001;6;7;6; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7;6;1;7;15,8141293282164
01056201016780002; AZUAY;01;01678;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;9,20892742432227
01056201016780002; AZUAY;01;01678;0002;2;1;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1; ;1;9,20892742432227
01056201016780002; AZUAY;01;01678;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;9,20892742432227
01056201016780002; AZUAY;01;01678;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;9,20892742432227
01056201016780002; AZUAY;01;01678;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;9,20892742432227
01056201016780002; AZUAY;01;01678;0002;6;3;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;2;3;9,20892742432227
01056201016780003; AZUAY;01;01678;0003;1;3;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3; ;3;46,5972889107679
01056201016780003; AZUAY;01;01678;0003;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,5972889107679
01056201016780003; AZUAY;01;01678;0003;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,5972889107679
01056201016780003; AZUAY;01;01678;0003;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,5972889107679
01056201016780003; AZUAY;01;01678;0003;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,5972889107679
01056201016780003; AZUAY;01;01678;0003;6; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,5972889107679
01135201017190002; AZUAY;01;01719;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,99123148037495
01135201017190002; AZUAY;01;01719;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,99123148037495
01135201017190002; AZUAY;01;01719;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,99123148037495
01135201017190002; AZUAY;01;01719;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,99123148037495
01135201017190002; AZUAY;01;01719;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,99123148037495
01135201017190002; AZUAY;01;01719;0002;6;3;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;3; ;3;6,99123148037495
01135201017240001; AZUAY;01;01724;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;27,1582036988485
01135201017240001; AZUAY;01;01724;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;27,1582036988485
01135201017240001; AZUAY;01;01724;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;27,1582036988485
01135201017240001; AZUAY;01;01724;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;27,1582036988485
01135201017240001; AZUAY;01;01724;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;27,1582036988485
01135201017240001; AZUAY;01;01724;0001;6;3;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;3; ;3;27,1582036988485
01056201019480001; AZUAY;01;01948;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;22,4782894233672
01056201019480001; AZUAY;01;01948;0001;2;1; ; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;22,4782894233672
01056201019480001; AZUAY;01;01948;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;22,4782894233672
01056201019480001; AZUAY;01;01948;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;22,4782894233672
01056201019480001; AZUAY;01;01948;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;22,4782894233672
01056201019480001; AZUAY;01;01948;0001;6;5;3; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5;3;2;5;22,4782894233672
01056201019480002; AZUAY;01;01948;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,5331082063883
01056201019480002; AZUAY;01;01948;0002;2;2; ; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;2;2;39,5331082063883
01056201019480002; AZUAY;01;01948;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,5331082063883
01056201019480002; AZUAY;01;01948;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,5331082063883
01056201019480002; AZUAY;01;01948;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,5331082063883
01056201019480002; AZUAY;01;01948;0002;6;4;1; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;1;3;4;39,5331082063883
01056201019480003; AZUAY;01;01948;0003;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;16,6309981284109
01056201019480003; AZUAY;01;01948;0003;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;16,6309981284109
01056201019480003; AZUAY;01;01948;0003;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;16,6309981284109
01056201019480003; AZUAY;01;01948;0003;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;16,6309981284109
01056201019480003; AZUAY;01;01948;0003;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;16,6309981284109
01056201019480003; AZUAY;01;01948;0003;6;3; ; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;3;16,6309981284109
01135201022300001; AZUAY;01;02230;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,0250043768097
01135201022300001; AZUAY;01;02230;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,0250043768097
01135201022300001; AZUAY;01;02230;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,0250043768097
01135201022300001; AZUAY;01;02230;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,0250043768097
01135201022300001; AZUAY;01;02230;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,0250043768097
01135201022300001; AZUAY;01;02230;0001;6;2;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;1;2;40,0250043768097
01135201022300003; AZUAY;01;02230;0003;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,3814138607488
01135201022300003; AZUAY;01;02230;0003;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,3814138607488
01135201022300003; AZUAY;01;02230;0003;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,3814138607488
01135201022300003; AZUAY;01;02230;0003;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,3814138607488
01135201022300003; AZUAY;01;02230;0003;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;46,3814138607488
