Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k409ha;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;pc_nclavr;pc_trs;pc_trc;pc_tro;pc_znd;pc_tn;Brachiaria;Gramalote;Pasto_miel;Saboya;Otros_pastos;Pasto_mixto;Total;fact_exp_fin
01015164000991177; AZUAY;64;00099;1177;1;RAIGRAS;1;1;,4;2; ;NO; ; ; ; ; ; ; ;SI;SI;50;KILOGRAMO; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,4; ;,4;1
01015201148580001; AZUAY;01;14858;0001;1;PASTO MIXTO;1;1;,23;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,23;,23;17,2562236219601
01015201148580002; AZUAY;01;14858;0002;1;PASTO MIXTO;1;1;,65;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,65;,65;47,3882448695367
01015201148580003; AZUAY;01;14858;0003;1;PASTO MIXTO;1;1;,57;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,57;,57;75,475601563796
01015201148580004; AZUAY;01;14858;0004;1;PASTO MIXTO;1;1;,07;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,07;,07;161,374135189979
01015201148580005; AZUAY;01;14858;0005;1;PASTO MIXTO;1;1;3;2; ;NO; ; ; ; ; ; ; ;SI;SI;25;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3;3;47,9723016690492
01015201148580006; AZUAY;01;14858;0006;1;PASTO MIXTO;1;1;,6;2; ;NO; ; ; ; ; ; ; ;SI;SI;3;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,6;,6;34,567755652965
01015201148580006; AZUAY;01;14858;0006;2;PASTO MIXTO;7;1;3,79;2; ;NO; ; ; ; ; ; ; ;SI;SI;5;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3,79;3,79;11,3091832911121
01015201148580007; AZUAY;01;14858;0007;1;PASTO MIXTO;1;1;5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;5;5;34,6040379692984
01015201148580008; AZUAY;01;14858;0008;1;PASTO MIXTO;1;1;1,87;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,87;1,87;35,5310684244021
