Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ap_k1221;ap_capacponedoras;ap_capacreproductoras;ap_capacpollitos;ap_capacavestruces;ap_capacpavos;ap_capaccodornices;ap_k1222;ap_k1223;ap_k1224;ap_k1225;ap_k1226;ap_k1227;ap_ctponedoras;ap_ctreproductoras;ap_ctpollitos;ap_ctavestruces;ap_ctpavos;ap_ctcodornices;ap_k1230;ap_cons_gapo;ap_cons_gare;ap_cons_polli;ap_cons_avest;ap_cons_pavos;ap_cons_codor;ap_vcar_gapo;ap_vcar_gare;ap_vcar_polli;ap_vcar_avest;ap_vcar_pavos;ap_vcar_codor;ap_vpie_gapo;ap_vpie_gare;ap_vpie_polli;ap_vpie_avest;ap_vpie_pavos;ap_vpie_codor;ap_k1237;ap_k1238;ap_k1239;ap_k1240;ap_k1241;ap_mesesrecoge;ap_existe_hcodor;ap_prod_hcodor;ap_cons_hcodor;ap_venta_hcodor;ap_otros_hcodor;ap_vacuna_aves;ap_enfermedad_aves;ap_trs;ap_trc;ap_tro;ap_znd;ap_tn;ap_total;ap_k051231;ap_k051232;ap_k051233;ap_k051234;ap_k051235;ap_k051236;ap_vengapo;ap_autogapo;ap_vengarep;ap_autogarep;ap_venpoypo;ap_autopoypo;ap_venavest;ap_autoavest;ap_venpavos;ap_autopavos;ap_vencodorn;ap_autocodorn;avesp_existencia;avesp_ventas;avesp_autoconsumo;fact_exp_fin
01055201011029999; AZUAY;01;01102;9999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;17,8710202530259
01015701011110001; AZUAY;01;01111;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;39,8220545122157
01015701012760001; AZUAY;01;01276;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;39,8220545122157
01015701012810001; AZUAY;01;01281;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;31,4054057667317
01015701012950001; AZUAY;01;01295;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;49,7775681402697
01055601013720001; AZUAY;01;01372;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;58,1013075600736
01055601013720002; AZUAY;01;01372;0002; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;39,8099872229696
01055601013720003; AZUAY;01;01372;0003; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;56,6205053901326
01055601013729999; AZUAY;01;01372;9999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;25,7795405526449
01055201014050001; AZUAY;01;01405;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;59,3178567709271
