Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgo_ncventmamen6mes;vgo_ncventmamas6mes;vgo_ncventhemmen6mes;vgo_ncventhemmas6mes;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;vm6m;vmy6m;TOTAL;fact_exp_fin
05075201077050005;COTOPAXI;01;07705;0005; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;8,87353692599246
05075101088080001;COTOPAXI;01;08808;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;9,68630380866843
05075101088080010;COTOPAXI;01;08808;0010; ;3; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;42,3256024889701
05075101090950003;COTOPAXI;01;09095;0003; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;27,2737589273761
05075101090950004;COTOPAXI;01;09095;0004; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;39,0638144319873
05075101091010001;COTOPAXI;01;09101;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;52,9824593417875
05015801108700007;COTOPAXI;01;10870;0007;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;11,2376263472999
05015101110970006;COTOPAXI;01;11097;0006; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;61,3639237195027
05015801120770006;COTOPAXI;01;12077;0006; ;2; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;35,0899320375248
05045801125170007;COTOPAXI;01;12517;0007;1;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;56,4206388914598
05045801133180003;COTOPAXI;01;13318;0003;1; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;13,5298543602346
05045801134400002;COTOPAXI;01;13440;0002; ;8; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;11;11;53,7757759934172
05015701144400008;COTOPAXI;01;14440;0008; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;2,09984461607455
05045001148020002;COTOPAXI;01;14802;0002; ; ; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;10,7604436699732
05015001161130027;COTOPAXI;01;16113;0027; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;12,8096658098458
05045001161360020;COTOPAXI;01;16136;0020; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;15,5889930760511
05045001164460002;COTOPAXI;01;16446;0002;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;39,664253871745
05045001164460009;COTOPAXI;01;16446;0009; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;31,2338177978081
05045001167810005;COTOPAXI;01;16781;0005; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;51,8430172463618
